number,InfluxDBValue
0,635.0
1,635.0
2,635.0
3,640.0
4,640.0
5,640.0
6,640.0
7,640.0
8,640.0
9,640.0
10,640.0
11,640.0
12,640.0
13,640.0
14,640.0
15,645.0
16,645.0
17,645.0
18,640.0
19,640.0
20,640.0
21,640.0
22,640.0
23,640.0
24,640.0
25,640.0
26,640.0
27,645.0
28,645.0
29,645.0
30,640.0
31,640.0
32,640.0
33,640.0
34,640.0
35,645.0
36,645.0
37,645.0
38,645.0
39,645.0
40,645.0
41,645.0
42,645.0
43,645.0
44,640.0
45,640.0
46,640.0
47,640.0
48,640.0
49,640.0
50,640.0
51,645.0
52,645.0
53,645.0
54,640.0
55,640.0
56,640.0
57,640.0
58,640.0
59,640.0
60,640.0
61,640.0
62,640.0
63,640.0
64,645.0
65,645.0
66,640.0
67,640.0
68,640.0
69,640.0
70,635.0
71,640.0
72,640.0
73,640.0
74,640.0
75,640.0
76,640.0
77,640.0
78,640.0
79,635.0
80,635.0
81,635.0
82,635.0
83,640.0
84,640.0
85,640.0
86,640.0
87,640.0
88,640.0
89,635.0
90,635.0
91,635.0
92,635.0
93,635.0
94,635.0
95,635.0
96,635.0
97,635.0
98,635.0
99,635.0
100,635.0
101,635.0
102,635.0
103,635.0
104,635.0
105,635.0
106,635.0
107,635.0
108,640.0
109,640.0
110,635.0
111,635.0
112,635.0
113,635.0
114,635.0
115,635.0
116,635.0
117,635.0
118,635.0
119,635.0
120,640.0
121,645.0
122,650.0
123,655.0
124,660.0
125,660.0
126,665.0
127,665.0
128,665.0
129,660.0
130,660.0
131,665.0
132,665.0
133,665.0
134,665.0
135,665.0
136,665.0
137,685.0
138,675.0
139,675.0
140,670.0
141,665.0
142,675.0
143,675.0
144,675.0
145,670.0
146,720.0
147,720.0
148,720.0
149,715.0
150,715.0
151,705.0
152,690.0
153,685.0
154,690.0
155,690.0
156,695.0
157,695.0
158,700.0
159,690.0
160,685.0
161,695.0
162,690.0
163,685.0
164,660.0
165,675.0
166,685.0
167,695.0
168,685.0
169,665.0
170,655.0
171,645.0
172,650.0
173,645.0
174,660.0
175,680.0
176,685.0
177,710.0
178,705.0
179,710.0
180,685.0
181,705.0
182,690.0
183,660.0
184,665.0
185,680.0
186,685.0
187,685.0
188,675.0
189,690.0
190,695.0
191,695.0
192,700.0
193,695.0
194,685.0
195,690.0
196,695.0
197,675.0
198,680.0
199,670.0
200,665.0
201,660.0
202,655.0
203,650.0
204,650.0
205,650.0
206,660.0
207,655.0
208,655.0
209,650.0
210,645.0
211,650.0
212,650.0
213,665.0
214,650.0
215,645.0
216,650.0
217,660.0
218,665.0
219,660.0
220,660.0
221,655.0
222,640.0
223,645.0
224,645.0
225,655.0
226,655.0
227,655.0
228,655.0
229,655.0
230,650.0
231,650.0
232,650.0
233,650.0
234,655.0
235,650.0
236,650.0
237,645.0
238,645.0
239,650.0
240,645.0
241,645.0
242,640.0
243,640.0
244,635.0
245,635.0
246,635.0
247,635.0
248,635.0
249,630.0
250,630.0
251,630.0
252,630.0
253,625.0
254,625.0
255,625.0
256,625.0
257,625.0
258,625.0
259,625.0
260,625.0
261,620.0
262,620.0
263,625.0
264,630.0
265,635.0
266,635.0
267,640.0
268,640.0
269,645.0
270,640.0
271,645.0
272,645.0
273,645.0
274,645.0
275,645.0
276,640.0
277,640.0
278,640.0
279,640.0
280,645.0
281,640.0
282,635.0
283,635.0
284,630.0
285,630.0
286,630.0
287,630.0
288,630.0
289,630.0
290,630.0
291,630.0
292,630.0
293,620.0
294,620.0
295,620.0
296,615.0
297,620.0
298,620.0
299,615.0
300,615.0
301,615.0
302,615.0
303,615.0
304,610.0
305,610.0
306,610.0
307,610.0
308,605.0
309,605.0
310,605.0
311,610.0
312,610.0
313,610.0
314,605.0
315,605.0
316,605.0
317,600.0
318,600.0
319,600.0
320,600.0
321,595.0
322,600.0
323,595.0
324,595.0
325,595.0
326,595.0
327,595.0
328,595.0
329,595.0
330,595.0
331,595.0
332,595.0
333,595.0
334,595.0
335,595.0
336,595.0
337,595.0
338,595.0
339,595.0
340,595.0
341,595.0
342,590.0
343,590.0
344,590.0
345,590.0
346,590.0
347,590.0
348,590.0
349,590.0
350,590.0
351,585.0
352,585.0
353,585.0
354,585.0
355,585.0
356,580.0
357,585.0
358,585.0
359,585.0
360,585.0
361,585.0
362,585.0
363,580.0
364,580.0
365,580.0
366,580.0
367,580.0
368,580.0
369,580.0
370,580.0
371,580.0
372,580.0
373,580.0
374,580.0
375,580.0
376,575.0
377,575.0
378,575.0
379,575.0
380,575.0
381,575.0
382,580.0
383,575.0
384,575.0
385,575.0
386,575.0
387,575.0
388,570.0
389,570.0
390,570.0
391,570.0
392,570.0
393,570.0
394,570.0
395,565.0
396,565.0
397,565.0
398,565.0
399,565.0
400,560.0
401,560.0
402,565.0
403,565.0
404,565.0
405,565.0
406,565.0
407,565.0
408,565.0
409,560.0
410,560.0
411,560.0
412,560.0
413,560.0
414,560.0
415,560.0
416,560.0
417,560.0
418,555.0
419,555.0
420,555.0
421,555.0
422,555.0
423,555.0
424,555.0
425,555.0
426,555.0
427,555.0
428,555.0
429,555.0
430,555.0
431,560.0
432,560.0
433,560.0
434,555.0
435,555.0
436,555.0
437,555.0
438,555.0
439,555.0
440,555.0
441,555.0
442,555.0
443,555.0
444,555.0
445,550.0
446,550.0
447,550.0
448,550.0
449,550.0
450,550.0
451,550.0
452,550.0
453,550.0
454,550.0
455,550.0
456,550.0
457,550.0
458,550.0
459,550.0
460,550.0
461,550.0
462,545.0
463,545.0
464,550.0
465,545.0
466,550.0
467,545.0
468,545.0
469,545.0
470,545.0
471,545.0
472,545.0
473,545.0
474,545.0
475,545.0
476,545.0
477,545.0
478,545.0
479,545.0
480,550.0
481,545.0
482,545.0
483,545.0
484,545.0
485,545.0
486,545.0
487,545.0
488,540.0
489,540.0
490,540.0
491,545.0
492,540.0
493,545.0
494,540.0
495,540.0
496,540.0
497,540.0
498,545.0
499,540.0
500,545.0
501,545.0
502,540.0
503,545.0
504,540.0
505,540.0
506,540.0
507,540.0
508,540.0
509,540.0
510,540.0
511,540.0
512,540.0
513,540.0
514,540.0
515,540.0
516,540.0
517,540.0
518,540.0
519,540.0
520,540.0
521,540.0
522,540.0
523,540.0
524,540.0
525,540.0
