number,InfluxDBValue
6,640.0
17,645.0
18,640.0
19,640.0
20,640.0
21,640.0
22,640.0
23,640.0
29,645.0
30,640.0
31,640.0
32,640.0
33,640.0
34,640.0
35,645.0
36,645.0
37,645.0
38,645.0
39,645.0
47,640.0
48,640.0
55,640.0
56,640.0
57,640.0
68,640.0
69,640.0
70,635.0
71,640.0
72,640.0
81,635.0
82,635.0
83,640.0
84,640.0
85,640.0
86,640.0
87,640.0
92,635.0
93,635.0
122,650.0
123,655.0
124,660.0
125,660.0
126,665.0
127,665.0
128,665.0
129,660.0
130,660.0
131,665.0
137,685.0
138,675.0
139,675.0
140,670.0
141,665.0
142,675.0
143,675.0
144,675.0
145,670.0
146,720.0
147,720.0
148,720.0
149,715.0
150,715.0
151,705.0
152,690.0
153,685.0
154,690.0
155,690.0
156,695.0
157,695.0
158,700.0
159,690.0
160,685.0
161,695.0
162,690.0
163,685.0
164,660.0
165,675.0
166,685.0
167,695.0
168,685.0
169,665.0
170,655.0
171,645.0
172,650.0
173,645.0
174,660.0
175,680.0
176,685.0
177,710.0
178,705.0
179,710.0
180,685.0
181,705.0
182,690.0
183,660.0
184,665.0
185,680.0
186,685.0
187,685.0
188,675.0
189,690.0
190,695.0
191,695.0
192,700.0
193,695.0
194,685.0
195,690.0
196,695.0
197,675.0
198,680.0
199,670.0
200,665.0
201,660.0
202,655.0
203,650.0
204,650.0
205,650.0
206,660.0
207,655.0
208,655.0
209,650.0
210,645.0
211,650.0
212,650.0
213,665.0
214,650.0
215,645.0
216,650.0
217,660.0
218,665.0
219,660.0
220,660.0
221,655.0
222,640.0
223,645.0
224,645.0
225,655.0
226,655.0
227,655.0
228,655.0
229,655.0
230,650.0
231,650.0
244,635.0
245,635.0
246,635.0
247,635.0
248,635.0
265,635.0
266,635.0
267,640.0
268,640.0
269,645.0
270,640.0
271,645.0
272,645.0
284,630.0
285,630.0
286,630.0
287,630.0
288,630.0
295,620.0
296,615.0
297,620.0
298,620.0
299,615.0
319,600.0
320,600.0
321,595.0
504,540.0
505,540.0
681,560.0
826,545.0
827,545.0
828,545.0
829,540.0
830,540.0
831,540.0
832,540.0
833,535.0
1097,510.0
1098,510.0
1111,510.0
1112,510.0
1113,505.0
1114,505.0
1115,505.0
1118,510.0
1119,510.0
1129,505.0
1130,505.0
1210,500.0
1211,500.0
1212,505.0
1213,505.0
1214,505.0
1215,505.0
1216,505.0
1222,500.0
1223,500.0
1311,495.0
1312,495.0
1313,490.0
1314,490.0
1315,490.0
1316,490.0
1317,490.0
1352,485.0
1353,485.0
1359,490.0
1360,490.0
1368,485.0
1369,485.0
1422,485.0
1423,485.0
1424,485.0
1451,485.0
1452,485.0
1453,485.0
1454,480.0
1455,480.0
1456,480.0
1457,480.0
1458,480.0
1598,480.0
1600,475.0
1601,475.0
1602,475.0
1619,480.0
1620,475.0
1621,475.0
1622,475.0
1623,475.0
1624,475.0
1669,470.0
1670,470.0
1671,470.0
1672,470.0
1673,470.0
1740,470.0
1741,470.0
1742,470.0
1760,475.0
1761,475.0
1762,470.0
1764,470.0
1780,465.0
1781,465.0
1782,470.0
1783,470.0
1784,470.0
1785,470.0
1786,470.0
1787,465.0
1788,465.0
1789,465.0
1790,465.0
1791,465.0
1875,465.0
1876,465.0
1877,465.0
1911,460.0
1912,460.0
1917,465.0
1918,465.0
1995,465.0
1996,465.0
1998,465.0
2019,465.0
2020,465.0
2021,465.0
2022,470.0
2023,460.0
2024,465.0
2033,460.0
2034,460.0
2073,450.0
2074,450.0
2075,455.0
2076,455.0
2077,450.0
2096,450.0
2097,450.0
2103,450.0
2116,450.0
2117,450.0
2142,440.0
2143,445.0
2144,445.0
2146,450.0
2147,455.0
2148,450.0
2149,450.0
2150,450.0
2151,450.0
2152,445.0
2153,445.0
2154,445.0
2155,445.0
2156,445.0
2174,445.0
2176,445.0
2238,440.0
2239,440.0
2240,440.0
2244,445.0
2245,445.0
2246,440.0
2247,440.0
2248,440.0
2249,440.0
2250,440.0
2268,445.0
2269,440.0
2270,440.0
2271,440.0
2272,440.0
2327,435.0
2328,440.0
2329,435.0
2346,435.0
2364,440.0
2365,440.0
2371,435.0
2372,435.0
2387,440.0
2388,440.0
2389,440.0
2390,440.0
2391,435.0
2416,435.0
2418,435.0
2454,440.0
2455,430.0
2456,430.0
2457,435.0
2458,435.0
2459,435.0
2460,435.0
2461,435.0
2466,430.0
2467,430.0
2481,435.0
2482,435.0
2483,430.0
2484,435.0
2485,430.0
2499,430.0
2500,430.0
2501,430.0
2554,410.0
2555,410.0
2556,410.0
2557,415.0
2558,415.0
2559,415.0
2560,415.0
2561,415.0
2562,420.0
2563,420.0
2564,420.0
2565,425.0
2566,425.0
2567,425.0
2568,420.0
2569,425.0
2575,430.0
2576,430.0
2577,425.0
2578,430.0
2600,430.0
2601,430.0
2602,430.0
2603,430.0
2604,425.0
2605,425.0
2606,430.0
2607,425.0
2721,430.0
2722,430.0
2731,430.0
2732,430.0
2733,430.0
2739,425.0
2740,430.0
2741,430.0
2742,430.0
2743,425.0
2765,430.0
2766,430.0
2767,430.0
2769,425.0
2770,425.0
2771,425.0
2772,425.0
2773,425.0
2785,430.0
2786,425.0
2787,425.0
2788,425.0
2789,430.0
2810,420.0
2811,420.0
2812,425.0
2813,425.0
2814,425.0
2815,425.0
2816,425.0
2822,425.0
2823,425.0
2824,425.0
2859,430.0
2862,430.0
2863,425.0
2886,445.0
2887,440.0
2888,435.0
2889,435.0
2890,435.0
2891,435.0
2892,435.0
2893,435.0
